"id","name","given_name","gender","wiki_url","laureate_url","external_url","birth","birth_year","death","death_year","birth_location","death_location"
779,"Ciechanover","Aaron","male","https://en.wikipedia.org/wiki/Aaron_Ciechanover","https://api.nobelprize.org/2/laureate/779","https://www.nobelprize.org/laureate/779","1947-10-01",1947,,,"svbfs4p1q50t",
259,"Klug","Aaron","male","https://en.wikipedia.org/wiki/Aaron_Klug","https://api.nobelprize.org/2/laureate/259","https://www.nobelprize.org/laureate/259","1926-08-11",1926,"2018-11-20",2018,"u93wkeqg49nb",
843,"Yonath","Ada E.","female","https://en.wikipedia.org/wiki/Ada_Yonath","https://api.nobelprize.org/2/laureate/843","https://www.nobelprize.org/laureate/843","1939-06-22",1939,,,"sv9h9r1vvjr0",
199,"Butenandt","Adolf","male","https://en.wikipedia.org/wiki/Adolf_Butenandt","https://api.nobelprize.org/2/laureate/199","https://www.nobelprize.org/laureate/199","1903-03-24",1903,"1995-01-18",1995,"u1w0ek6pq5sb","u281zd9ubncr"
164,"von Baeyer","Adolf","male","https://en.wikipedia.org/wiki/Adolf_von_Baeyer","https://api.nobelprize.org/2/laureate/164","https://www.nobelprize.org/laureate/164","1835-10-31",1835,"1917-08-20",1917,"u33dc16s67c6","u281445x7srn"
185,"Windaus","Adolf","male","https://en.wikipedia.org/wiki/Adolf_Otto_Reinhold_Windaus","https://api.nobelprize.org/2/laureate/185","https://www.nobelprize.org/laureate/185","1876-12-25",1876,"1959-06-09",1959,"u33dc16s67c6","u1pj1w6w8m8y"
292,"Zewail","Ahmed","male","https://en.wikipedia.org/wiki/Ahmed_Zewail","https://api.nobelprize.org/2/laureate/292","https://www.nobelprize.org/laureate/292","1946-02-26",1946,"2016-08-02",2016,"stt8tk3pkg92","9q5fr8gd969h"
853,"Suzuki","Akira","male","https://en.wikipedia.org/wiki/Akira_Suzuki_(chemist)","https://api.nobelprize.org/2/laureate/853","https://www.nobelprize.org/laureate/853","1930-09-12",1930,,,"xpsfjw7zuuxh",
978,"Yoshino","Akira","male","https://en.wikipedia.org/wiki/Akira_Yoshino","https://api.nobelprize.org/2/laureate/978","https://www.nobelprize.org/laureate/978","1948-01-30",1948,,,"xn0mgbb8ph72",
729,"Heeger","Alan","male","https://en.wikipedia.org/wiki/Alan_J._Heeger","https://api.nobelprize.org/2/laureate/729","https://www.nobelprize.org/laureate/729","1936-01-22",1936,,,"9ze3y0r3h788",
730,"MacDiarmid","Alan","male","https://en.wikipedia.org/wiki/Alan_MacDiarmid","https://api.nobelprize.org/2/laureate/730","https://www.nobelprize.org/laureate/730","1927-04-14",1927,"2007-02-07",2007,"rbsyvn0rveub","dr47q8juqnyy"
1031,"Yekimov","Aleksey","male","https://en.wikipedia.org/wiki/Alexei_Ekimov","https://api.nobelprize.org/2/laureate/1031","https://www.nobelprize.org/laureate/1031",,,,,"udtt46b0ycu4",
174,"Werner","Alfred","male","https://en.wikipedia.org/wiki/Alfred_Werner","https://api.nobelprize.org/2/laureate/174","https://www.nobelprize.org/laureate/174","1866-12-12",1866,"1919-11-15",1919,"u0mpwuv3x2pe","u0qjd2ey7zyy"
214,"Martin","Archer J.P.","male","https://en.wikipedia.org/wiki/Archer_John_Porter_Martin","https://api.nobelprize.org/2/laureate/214","https://www.nobelprize.org/laureate/214","1910-03-01",1910,"2002-07-28",2002,"gcpvj1puzgy0","gcnp4t6gwyku"
891,"Warshel","Arieh","male","https://en.wikipedia.org/wiki/Arieh_Warshel","https://api.nobelprize.org/2/laureate/891","https://www.nobelprize.org/laureate/891","1940-11-20",1940,,,"svc1p3gkuwef",
208,"Tiselius","Arne","male","https://en.wikipedia.org/wiki/Arne_Tiselius","https://api.nobelprize.org/2/laureate/208","https://www.nobelprize.org/laureate/208","1902-08-10",1902,"1971-10-29",1971,"u6sc7pyg248w","u6ss92ujh9ey"
186,"Harden","Arthur","male","https://en.wikipedia.org/wiki/Arthur_Harden","https://api.nobelprize.org/2/laureate/186","https://www.nobelprize.org/laureate/186","1865-10-12",1865,"1940-06-17",1940,"gcw2hzt0md8t","gcrspqjn5wex"
203,"Virtanen","Artturi","male","https://en.wikipedia.org/wiki/Artturi_Ilmari_Virtanen","https://api.nobelprize.org/2/laureate/203","https://www.nobelprize.org/laureate/203","1895-01-15",1895,"1973-11-11",1973,"ud9wrcnp308h","ud9wrcnp308h"
780,"Hershko","Avram","male","https://en.wikipedia.org/wiki/Avram_Hershko","https://api.nobelprize.org/2/laureate/780","https://www.nobelprize.org/laureate/780","1937-12-31",1937,,,"u2qvhj80w78u",
923,"Sancar","Aziz","male","https://en.wikipedia.org/wiki/Aziz_Sancar","https://api.nobelprize.org/2/laureate/923","https://www.nobelprize.org/laureate/923","1946-09-08",1946,,,"sytjd3qxf9ht",
1002,"List","Benjamin","male","https://en.wikipedia.org/wiki/Benjamin_List","https://api.nobelprize.org/2/laureate/1002","https://www.nobelprize.org/laureate/1002","1968-01-11",1968,,,"u0yjjcbgw6gn",
933,"Feringa","Bernard L.","male","https://en.wikipedia.org/wiki/Ben_Feringa","https://api.nobelprize.org/2/laureate/933","https://www.nobelprize.org/laureate/933","1951-05-18",1951,,,"u1mh05xyvjz4",
879,"Kobilka","Brian","male","https://en.wikipedia.org/wiki/Brian_Kobilka","https://api.nobelprize.org/2/laureate/879","https://www.nobelprize.org/laureate/879","1955-05-30",1955,,,"cbhvs9xrdq1u",
261,"Merrifield","Bruce","male","https://en.wikipedia.org/wiki/Robert_Bruce_Merrifield","https://api.nobelprize.org/2/laureate/261","https://www.nobelprize.org/laureate/261","1921-07-15",1921,"2006-05-14",2006,"9vff35heu37x","dr72vj11ppqh"
189,"Bosch","Carl","male","https://en.wikipedia.org/wiki/Carl_Bosch","https://api.nobelprize.org/2/laureate/189","https://www.nobelprize.org/laureate/189","1874-08-27",1874,"1940-04-26",1940,"u1hcy346w4qd","u0y1j8bgqf43"
1015,"Bertozzi","Carolyn","female","https://en.wikipedia.org/wiki/Carolyn_R._Bertozzi","https://api.nobelprize.org/2/laureate/1015","https://www.nobelprize.org/laureate/1015","1966-10-10",1966,,,"drt2zp6p26d5",
269,"Pedersen","Charles J.","male","https://en.wikipedia.org/wiki/Charles_J._Pedersen","https://api.nobelprize.org/2/laureate/269","https://www.nobelprize.org/laureate/269","1904-10-03",1904,"1989-10-26",1989,"wy7b0911w3ep","dr434eyd24kq"
241,"Anfinsen","Christian","male","https://en.wikipedia.org/wiki/Christian_B._Anfinsen","https://api.nobelprize.org/2/laureate/241","https://www.nobelprize.org/laureate/241","1916-03-26",1916,"1995-05-14",1995,"dpphqjz55sq9","dqcruqx7kcv4"
867,"Shechtman","Dan","male","https://en.wikipedia.org/wiki/Dan_Shechtman","https://api.nobelprize.org/2/laureate/867","https://www.nobelprize.org/laureate/867","1941-01-24",1941,,,"sv8wx3p6mr5t",
1039,"Baker","David","male","https://en.wikipedia.org/wiki/David_Baker_(biochemist)","https://api.nobelprize.org/2/laureate/1039","https://www.nobelprize.org/laureate/1039",,,,,"c22yzerdx557",
1003,"MacMillan","David","male","https://en.wikipedia.org/wiki/David_MacMillan","https://api.nobelprize.org/2/laureate/1003","https://www.nobelprize.org/laureate/1003","1968-03-16",1968,,,"gcvjs3fdm1c4",
1040,"Hassabis","Demis","male","https://en.wikipedia.org/wiki/Demis_Hassabis","https://api.nobelprize.org/2/laureate/1040","https://www.nobelprize.org/laureate/1040","1976-07-27",1976,,,"gcpvj1puzgy0",
237,"Barton","Derek","male","https://en.wikipedia.org/wiki/Derek_Barton","https://api.nobelprize.org/2/laureate/237","https://www.nobelprize.org/laureate/237","1918-09-08",1918,"1998-03-16",1998,"u10k8ksmmmb2","9v7qpzekvsez"
267,"Cram","Donald J.","male","https://en.wikipedia.org/wiki/Donald_J._Cram","https://api.nobelprize.org/2/laureate/267","https://www.nobelprize.org/laureate/267","1919-04-22",1919,"2001-06-17",2001,"drsq78775ye8","9mvpzffwqdh4"
