"id","name","given_name","gender","wiki_url","laureate_url","external_url","birth","birth_year","death","death_year","birth_location","death_location"
745,"Spence","A. Michael","male","https://en.wikipedia.org/wiki/Michael_Spence","https://api.nobelprize.org/2/laureate/745","https://www.nobelprize.org/laureate/745",,,,,"dr70r24sk2bw",
982,"Banerjee","Abhijit","male","https://en.wikipedia.org/wiki/Abhijit_Banerjee","https://api.nobelprize.org/2/laureate/982","https://www.nobelprize.org/laureate/982","1961-02-21",1961,,,"te7ud2eubc48",
882,"Roth","Alvin E.","male","https://en.wikipedia.org/wiki/Alvin_E._Roth","https://api.nobelprize.org/2/laureate/882","https://www.nobelprize.org/laureate/882","1951-12-18",1951,,,"dr5reu4d7xqv",
719,"Sen","Amartya","male","https://en.wikipedia.org/wiki/Amartya_Sen","https://api.nobelprize.org/2/laureate/719","https://www.nobelprize.org/laureate/719","1933-11-03",1933,,,"tunqeny9upfw",
926,"Deaton","Angus","male","https://en.wikipedia.org/wiki/Angus_Deaton","https://api.nobelprize.org/2/laureate/926","https://www.nobelprize.org/laureate/926","1945-10-19",1945,,,"gcvwr42mwh1m",
1021,"Bernanke","Ben","male","https://en.wikipedia.org/wiki/Ben_Bernanke","https://api.nobelprize.org/2/laureate/1021","https://www.nobelprize.org/laureate/1021","1953-12-13",1953,,,"djvwqt58uh1w",
936,"Holmström","Bengt","male","https://en.wikipedia.org/wiki/Bengt_Holmström","https://api.nobelprize.org/2/laureate/936","https://www.nobelprize.org/laureate/936","1949-04-18",1949,,,"ud9wrcnp308h",
689,"Ohlin","Bertil","male","https://en.wikipedia.org/wiki/Bertil_Ohlin","https://api.nobelprize.org/2/laureate/689","https://www.nobelprize.org/laureate/689","1899-04-23",1899,"1979-08-03",1979,"u3cr74vxu9gv","u74qmszcw5jn"
858,"Pissarides","Christopher A.","male","https://en.wikipedia.org/wiki/Christopher_A._Pissarides","https://api.nobelprize.org/2/laureate/858","https://www.nobelprize.org/laureate/858","1948-02-20",1948,,,"swr8p7d1zvfk",
873,"Sims","Christopher A.","male","https://en.wikipedia.org/wiki/Christopher_A._Sims","https://api.nobelprize.org/2/laureate/873","https://www.nobelprize.org/laureate/873","1942-10-21",1942,,,"dqcjqcreqzm1",
1034,"Goldin","Claudia","female","https://en.wikipedia.org/wiki/Claudia_Goldin","https://api.nobelprize.org/2/laureate/1034","https://www.nobelprize.org/laureate/1034",,,,,"dr5reu4d7xqv",
772,"Granger","Clive W.J.","male","https://en.wikipedia.org/wiki/Clive_Granger","https://api.nobelprize.org/2/laureate/772","https://www.nobelprize.org/laureate/772","1934-09-04",1934,"2009-05-27",2009,"gcjjwhe8yk4s","9mudjy3ufp7m"
857,"Mortensen","Dale T.","male","https://en.wikipedia.org/wiki/Dale_T._Mortensen","https://api.nobelprize.org/2/laureate/857","https://www.nobelprize.org/laureate/857","1939-02-02",1939,"2014-01-09",2014,"c2hd7m1wcnkq","dp3x7g10gj25"
759,"Kahneman","Daniel","male","https://en.wikipedia.org/wiki/Daniel_Kahneman","https://api.nobelprize.org/2/laureate/759","https://www.nobelprize.org/laureate/759","1934-03-05",1934,"2024-03-27",2024,"sv8wx3p6mr5t",
733,"McFadden","Daniel L.","male","https://en.wikipedia.org/wiki/Daniel_McFadden","https://api.nobelprize.org/2/laureate/733","https://www.nobelprize.org/laureate/733","1937-07-29",1937,,,"dq25d98gbjvc",
1044,"Acemoglu","Daron","male","https://en.wikipedia.org/wiki/Daron_Acemoglu","https://api.nobelprize.org/2/laureate/1044","https://www.nobelprize.org/laureate/1044","1967-09-03",1967,,,"sxk971kxcu6k",
1007,"Card","David","male","https://en.wikipedia.org/wiki/David_Card","https://api.nobelprize.org/2/laureate/1007","https://www.nobelprize.org/laureate/1007",,,,,"dpwztzk4ph72",
1022,"Diamond","Douglas","male","https://en.wikipedia.org/wiki/Douglas_Diamond","https://api.nobelprize.org/2/laureate/1022","https://www.nobelprize.org/laureate/1022","1953-10-25",1953,,,"dp3wjxrdsysw",
710,"North","Douglass C.","male","https://en.wikipedia.org/wiki/Douglass_North","https://api.nobelprize.org/2/laureate/710","https://www.nobelprize.org/laureate/710","1920-11-05",1920,"2015-11-23",2015,"drt3jcvnxdtd","dpfvbg06mvu1"
807,"Phelps","Edmund S.","male","https://en.wikipedia.org/wiki/Edmund_Phelps","https://api.nobelprize.org/2/laureate/807","https://www.nobelprize.org/laureate/807","1933-07-26",1933,,,"dp3xhwhq3xt2",
787,"Prescott","Edward C.","male","https://en.wikipedia.org/wiki/Edward_C._Prescott","https://api.nobelprize.org/2/laureate/787","https://www.nobelprize.org/laureate/787","1940-12-26",1940,"2022-11-06",2022,"drewkhdzvrqs","9z1fsf2xgjvn"
846,"Ostrom","Elinor","female","https://en.wikipedia.org/wiki/Elinor_Ostrom","https://api.nobelprize.org/2/laureate/846","https://www.nobelprize.org/laureate/846","1933-08-07",1933,"2012-06-12",2012,"9q5cv8z4mgcg","dnfqz1c78637"
821,"Maskin","Eric S.","male","https://en.wikipedia.org/wiki/Eric_Maskin","https://api.nobelprize.org/2/laureate/821","https://www.nobelprize.org/laureate/821","1950-12-12",1950,,,"dr5reu4d7xqv",
983,"Duflo","Esther","female","https://en.wikipedia.org/wiki/Esther_Duflo","https://api.nobelprize.org/2/laureate/983","https://www.nobelprize.org/laureate/983","1972-10-25",1972,,,"u09tvwew9tqx",
894,"Fama","Eugene F.","male","https://en.wikipedia.org/wiki/Eugene_Fama","https://api.nobelprize.org/2/laureate/894","https://www.nobelprize.org/laureate/894","1939-02-14",1939,,,"drt2zp6p26d5",
786,"Kydland","Finn E.","male","https://en.wikipedia.org/wiki/Finn_E._Kydland","https://api.nobelprize.org/2/laureate/786","https://www.nobelprize.org/laureate/786","1943-12-01",1943,,,"u4kq2szmdg9h",
699,"Modigliani","Franco","male","https://en.wikipedia.org/wiki/Franco_Modigliani","https://api.nobelprize.org/2/laureate/699","https://www.nobelprize.org/laureate/699","1918-06-18",1918,"2003-09-25",2003,"sr2yks4ft8xk","drt3jcvnxdtd"
