"id","name","given_name","gender","wiki_url","laureate_url","external_url","birth","birth_year","death","death_year","birth_location","death_location"
981,"Ahmed Ali","Abiy","male","https://en.wikipedia.org/wiki/Abiy_Ahmed","https://api.nobelprize.org/2/laureate/981","https://www.nobelprize.org/laureate/981","1976-08-15",1976,,,"sc3uq51y1nku",
541,"Pérez Esquivel","Adolfo","male","https://en.wikipedia.org/wiki/Adolfo_Pérez_Esquivel","https://api.nobelprize.org/2/laureate/541","https://www.nobelprize.org/laureate/541","1931-11-26",1931,,,"69y7phsu3ddy",
819,"Gore","Al","male","https://en.wikipedia.org/wiki/Al_Gore","https://api.nobelprize.org/2/laureate/819","https://www.nobelprize.org/laureate/819","1948-03-31",1948,,,"dqcjqcreqzm1",
465,"Gobat","Albert","male","https://en.wikipedia.org/wiki/Charles_Albert_Gobat","https://api.nobelprize.org/2/laureate/465","https://www.nobelprize.org/laureate/465","1843-05-21",1843,"1914-03-16",1914,"u0mh9sepf773","u0m716twdmq4"
519,"Lutuli","Albert","male","https://en.wikipedia.org/wiki/Albert_Lutuli","https://api.nobelprize.org/2/laureate/519","https://www.nobelprize.org/laureate/519",,,"1967-07-21",1967,"kskm60c8esfc","kdy0zmzjn8gq"
513,"Schweitzer","Albert","male","https://en.wikipedia.org/wiki/Albert_Schweitzer","https://api.nobelprize.org/2/laureate/513","https://www.nobelprize.org/laureate/513","1875-01-14",1875,"1965-09-04",1965,"u0t1v5rnvxjk","kpzk102c4q35"
1018,"Bialiatski ","Ales","male","https://en.wikipedia.org/wiki/Ales_Bialiatski","https://api.nobelprize.org/2/laureate/1018","https://www.nobelprize.org/laureate/1018","1962-09-25",1962,,,"uejcdwcncn7w",
544,"García Robles","Alfonso","male","https://en.wikipedia.org/wiki/Alfonso_García_Robles","https://api.nobelprize.org/2/laureate/544","https://www.nobelprize.org/laureate/544","1911-03-20",1911,"1991-09-02",1991,"9ex38mze3e70","9g3w81krk70h"
479,"Fried","Alfred","male","https://en.wikipedia.org/wiki/Alfred_Hermann_Fried","https://api.nobelprize.org/2/laureate/479","https://www.nobelprize.org/laureate/479","1864-11-11",1864,"1921-05-04",1921,"u2edhxfmcsx3","u2edhxfmcsx3"
543,"Myrdal","Alva","female","https://en.wikipedia.org/wiki/Alva_Myrdal","https://api.nobelprize.org/2/laureate/543","https://www.nobelprize.org/laureate/543","1902-01-31",1902,"1986-02-01",1986,"u6ss92ujh9ey","u6sc7pyg248w"
509,"American Friends Service Committee",,"org","https://en.wikipedia.org/wiki/American_Friends_Service_Committee","https://api.nobelprize.org/2/laureate/509","https://www.nobelprize.org/laureate/509",,,,,,
537,"Amnesty International",,"org","https://en.wikipedia.org/wiki/Amnesty_International","https://api.nobelprize.org/2/laureate/537","https://www.nobelprize.org/laureate/537",,,,,,
534,"Sakharov","Andrei","male","https://en.wikipedia.org/wiki/Andrei_Sakharov","https://api.nobelprize.org/2/laureate/534","https://www.nobelprize.org/laureate/534","1921-05-21",1921,"1989-12-14",1989,"ucfv053jpewv","ucfv053jpewv"
538,"al-Sadat","Anwar","male","https://en.wikipedia.org/wiki/Anwar_Sadat","https://api.nobelprize.org/2/laureate/538","https://www.nobelprize.org/laureate/538","1918-12-25",1918,"1981-10-06",1981,"stmyr3nz9bdm","stq4yv3jjpue"
490,"Briand","Aristide","male","https://en.wikipedia.org/wiki/Aristide_Briand","https://api.nobelprize.org/2/laureate/490","https://www.nobelprize.org/laureate/490","1862-03-28",1862,"1932-03-07",1932,"gbquseskrb0k","u09tvwew9tqx"
499,"Henderson","Arthur","male","https://en.wikipedia.org/wiki/Arthur_Henderson","https://api.nobelprize.org/2/laureate/499","https://www.nobelprize.org/laureate/499","1863-09-13",1863,"1935-10-20",1935,"gcuvz31nxcf6","gcpvj1puzgy0"
