"id","name","given_name","gender","wiki_url","laureate_url","external_url","birth","birth_year","death","death_year","birth_location","death_location"
102,"Bohr","Aage N.","male","https://en.wikipedia.org/wiki/Aage_Bohr","https://api.nobelprize.org/2/laureate/102","https://www.nobelprize.org/laureate/102","1922-06-19",1922,"2009-09-08",2009,"u3buwpgh95pk","u3buwpgh95pk"
114,"Salam","Abdus","male","https://en.wikipedia.org/wiki/Abdus_Salam","https://api.nobelprize.org/2/laureate/114","https://www.nobelprize.org/laureate/114","1926-01-29",1926,"1996-11-21",1996,"tte3vshmsu4g","gcpn7m3v1n1g"
866,"Riess","Adam G.","male","https://en.wikipedia.org/wiki/Adam_Riess","https://api.nobelprize.org/2/laureate/866","https://www.nobelprize.org/laureate/866","1969-12-16",1969,,,"dqcjqcreqzm1",
1012,"Aspect","Alain","male","https://en.wikipedia.org/wiki/Alain_Aspect","https://api.nobelprize.org/2/laureate/1012","https://www.nobelprize.org/laureate/1012","1947-06-15",1947,,,"spb7qnfmqwvg",
11,"Michelson","Albert A.","male","https://en.wikipedia.org/wiki/Albert_Abraham_Michelson","https://api.nobelprize.org/2/laureate/11","https://www.nobelprize.org/laureate/11","1852-12-19",1852,"1931-05-09",1931,"u3kgmkyuxxmy","9q5fr8gd969h"
26,"Einstein","Albert","male","https://en.wikipedia.org/wiki/Albert_Einstein","https://api.nobelprize.org/2/laureate/26","https://www.nobelprize.org/laureate/26","1879-03-14",1879,"1955-04-18",1955,"u0x5770sxtg0","dr4vsgk0z0zg"
814,"Fert","Albert","male","https://en.wikipedia.org/wiki/Albert_Fert","https://api.nobelprize.org/2/laureate/814","https://www.nobelprize.org/laureate/814","1938-03-07",1938,,,"sp9tve0nrr4t",
83,"Prokhorov","Aleksandr M.","male","https://en.wikipedia.org/wiki/Alexander_Prokhorov","https://api.nobelprize.org/2/laureate/83","https://www.nobelprize.org/laureate/83","1916-07-11",1916,"2002-01-08",2002,"rhzmy2ghcg0f","ucfv053jpewv"
766,"Abrikosov","Alexei","male","https://en.wikipedia.org/wiki/Alexei_Alexeyevich_Abrikosov","https://api.nobelprize.org/2/laureate/766","https://www.nobelprize.org/laureate/766","1928-06-25",1928,"2017-03-29",2017,"ucfv053jpewv",
87,"Kastler","Alfred","male","https://en.wikipedia.org/wiki/Alfred_Kastler","https://api.nobelprize.org/2/laureate/87","https://www.nobelprize.org/laureate/87","1902-05-03",1902,"1984-01-07",1984,"u0t0s1637tkc","spsj6uwpf70h"
849,"Geim","Andre","male","https://en.wikipedia.org/wiki/Andre_Geim","https://api.nobelprize.org/2/laureate/849","https://www.nobelprize.org/laureate/849","1958-10-21",1958,,,"szspzymrze1e",
990,"Ghez","Andrea","female","https://en.wikipedia.org/wiki/Andrea_M._Ghez","https://api.nobelprize.org/2/laureate/990","https://www.nobelprize.org/laureate/990","1965-06-16",1965,,,"dr5reu4d7xqv",
1028,"L’Huillier","Anne","female","https://en.wikipedia.org/wiki/Anne_L%27Huillier","https://api.nobelprize.org/2/laureate/1028","https://www.nobelprize.org/laureate/1028","1958-08-16",1958,,,"u09tvwew9tqx",
768,"Leggett","Anthony J.","male","https://en.wikipedia.org/wiki/Anthony_James_Leggett","https://api.nobelprize.org/2/laureate/768","https://www.nobelprize.org/laureate/768","1938-03-26",1938,,,"gcpvj1puzgy0",
1014,"Zeilinger","Anton","male","https://en.wikipedia.org/wiki/Anton_Zeilinger","https://api.nobelprize.org/2/laureate/1014","https://www.nobelprize.org/laureate/1014","1945-05-20",1945,,,"u29d6bqewg67",
101,"Hewish","Antony","male","https://en.wikipedia.org/wiki/Antony_Hewish","https://api.nobelprize.org/2/laureate/101","https://www.nobelprize.org/laureate/101","1924-05-11",1924,"2021-09-13",2021,"gbuwq7repsbj",
111,"Penzias","Arno","male","https://en.wikipedia.org/wiki/Arno_Allan_Penzias","https://api.nobelprize.org/2/laureate/111","https://www.nobelprize.org/laureate/111","1933-04-26",1933,"2024-01-22",2024,"u281zd9ubncr","9q8yyh9kmhf9"
960,"Ashkin","Arthur","male","https://en.wikipedia.org/wiki/Arthur_Ashkin","https://api.nobelprize.org/2/laureate/960","https://www.nobelprize.org/laureate/960","1922-09-02",1922,"2020-09-21",2020,"dr5reu4d7xqv","dr5msn1rvsx5"
920,"McDonald","Arthur B.","male","https://en.wikipedia.org/wiki/Arthur_B._McDonald","https://api.nobelprize.org/2/laureate/920","https://www.nobelprize.org/laureate/920","1943-08-29",1943,,,"f8jnqr2dsp2k",
33,"Compton","Arthur H.","male","https://en.wikipedia.org/wiki/Arthur_Compton","https://api.nobelprize.org/2/laureate/33","https://www.nobelprize.org/laureate/33","1892-09-10",1892,"1962-03-15",1962,"dpm8pmp4ucpu","9q9p3w670tk5"
119,"Schawlow","Arthur L.","male","https://en.wikipedia.org/wiki/Arthur_Leonard_Schawlow","https://api.nobelprize.org/2/laureate/119","https://www.nobelprize.org/laureate/119","1921-05-05",1921,"1999-04-28",1999,"dr72zbnnr3e2","9q9jh0tcj2du"
942,"Barish","Barry C.","male","https://en.wikipedia.org/wiki/Barry_Barish","https://api.nobelprize.org/2/laureate/942","https://www.nobelprize.org/laureate/942","1936-01-27",1936,,,"9z7f8yuky4x1",
103,"Mottelson","Ben R.","male","https://en.wikipedia.org/wiki/Ben_Roy_Mottelson","https://api.nobelprize.org/2/laureate/103","https://www.nobelprize.org/laureate/103","1926-07-09",1926,"2022-05-13",2022,"dp3wjxrdsysw",
145,"Brockhouse","Bertram N.","male","https://en.wikipedia.org/wiki/Bertram_Brockhouse","https://api.nobelprize.org/2/laureate/145","https://www.nobelprize.org/laureate/145","1918-07-15",1918,"2003-10-13",2003,"c2zf8qt9t8ns","dpxnn6j2vyhx"
99,"Josephson","Brian D.","male","https://en.wikipedia.org/wiki/Brian_David_Josephson","https://api.nobelprize.org/2/laureate/99","https://www.nobelprize.org/laureate/99","1940-01-04",1940,,,"gcjszukhkchr",
865,"Schmidt","Brian P.","male","https://en.wikipedia.org/wiki/Brian_Schmidt","https://api.nobelprize.org/2/laureate/865","https://www.nobelprize.org/laureate/865","1967-02-24",1967,,,"c2qfturnjtjb",
105,"Richter","Burton","male","https://en.wikipedia.org/wiki/Burton_Richter","https://api.nobelprize.org/2/laureate/105","https://www.nobelprize.org/laureate/105","1931-03-22",1931,"2018-07-18",2018,"dr5rmhzmh6dk","9q9huhfyzu14"
34,"Wilson","C.T.R.","male","https://en.wikipedia.org/wiki/Charles_Thomson_Rees_Wilson","https://api.nobelprize.org/2/laureate/34","https://www.nobelprize.org/laureate/34","1869-02-14",1869,"1959-11-15",1959,"gcvtxp6f9mzu","gcvtw4bs36sm"
43,"Anderson","Carl D.","male","https://en.wikipedia.org/wiki/Carl_David_Anderson","https://api.nobelprize.org/2/laureate/43","https://www.nobelprize.org/laureate/43","1905-09-03",1905,"1991-01-11",1991,"dr5reu4d7xqv","9qh407te813j"
740,"Wieman","Carl","male","https://en.wikipedia.org/wiki/Carl_Wieman","https://api.nobelprize.org/2/laureate/740","https://www.nobelprize.org/laureate/740","1951-03-26",1951,,,"9rbme0er6js4",
124,"Rubbia","Carlo","male","https://en.wikipedia.org/wiki/Carlo_Rubbia","https://api.nobelprize.org/2/laureate/124","https://www.nobelprize.org/laureate/124","1934-03-31",1934,,,"u21tmgsfdg4q",
55,"Powell","Cecil","male","https://en.wikipedia.org/wiki/C._F._Powell","https://api.nobelprize.org/2/laureate/55","https://www.nobelprize.org/laureate/55","1903-12-05",1903,"1969-08-09",1969,"u105nnxjr03y","sr8cu2yhrn5x"
25,"Guillaume","Charles Edouard","male","https://en.wikipedia.org/wiki/Charles_Édouard_Guillaume","https://api.nobelprize.org/2/laureate/25","https://www.nobelprize.org/laureate/25","1861-02-15",1861,"1938-06-13",1938,"u0kdvccu61st","u09tdr9h9d3v"
22,"Barkla","Charles Glover","male","https://en.wikipedia.org/wiki/Charles_Glover_Barkla","https://api.nobelprize.org/2/laureate/22","https://www.nobelprize.org/laureate/22","1877-06-07",1877,"1944-10-23",1944,"gcqp9fmqrdwh","gcvwr42mwh1m"
81,"Townes","Charles H.","male","https://en.wikipedia.org/wiki/Charles_Hard_Townes","https://api.nobelprize.org/2/laureate/81","https://www.nobelprize.org/laureate/81","1915-07-28",1915,"2015-01-27",2015,"dnjqjr0xt7hu","9q9p3w670tk5"
838,"Kao","Charles K.","male","https://en.wikipedia.org/wiki/Charles_K._Kao","https://api.nobelprize.org/2/laureate/838","https://www.nobelprize.org/laureate/838","1933-11-04",1933,"2018-09-23",2018,"wtw3sw49dhj9","wecpkt5uxuzb"
68,"Yang","Chen Ning","male","https://en.wikipedia.org/wiki/Chen_Ning_Yang","https://api.nobelprize.org/2/laureate/68","https://www.nobelprize.org/laureate/68","1922-09-22",1922,,,"wtem53nm3cwc",
153,"Cohen-Tannoudji","Claude","male","https://en.wikipedia.org/wiki/Claude_Cohen-Tannoudji","https://api.nobelprize.org/2/laureate/153","https://www.nobelprize.org/laureate/153","1933-04-01",1933,,,"snkwz4dnx2m7",
146,"Shull","Clifford G.","male","https://en.wikipedia.org/wiki/Clifford_Shull","https://api.nobelprize.org/2/laureate/146","https://www.nobelprize.org/laureate/146","1915-09-23",1915,"2001-03-31",2001,"dppn53gkz5dr","drt3mfpcx9mm"
44,"Davisson","Clinton","male","https://en.wikipedia.org/wiki/Clinton_Davisson","https://api.nobelprize.org/2/laureate/44","https://www.nobelprize.org/laureate/44","1881-10-22",1881,"1958-02-01",1958,"dp0wqcuv6edn","dqb0q5p0bb7w"
157,"Tsui","Daniel C.","male","https://en.wikipedia.org/wiki/Daniel_C._Tsui","https://api.nobelprize.org/2/laureate/157","https://www.nobelprize.org/laureate/157","1939-02-28",1939,,,"ww08yg21vdn0",
776,"Gross","David J.","male","https://en.wikipedia.org/wiki/David_Gross","https://api.nobelprize.org/2/laureate/776","https://www.nobelprize.org/laureate/776","1941-02-19",1941,,,"dqcjqcreqzm1",
928,"Thouless","David J.","male","https://en.wikipedia.org/wiki/David_J._Thouless","https://api.nobelprize.org/2/laureate/928","https://www.nobelprize.org/laureate/928","1934-09-21",1934,"2019-04-06",2019,"gcuyj7u9jj6r","u120gjdregef"
877,"Wineland","David J.","male","https://en.wikipedia.org/wiki/David_J._Wineland","https://api.nobelprize.org/2/laureate/877","https://www.nobelprize.org/laureate/877","1944-02-24",1944,,,"dp9kythb2mwu",
149,"Lee","David M.","male","https://en.wikipedia.org/wiki/David_Lee_(physicist)","https://api.nobelprize.org/2/laureate/149","https://www.nobelprize.org/laureate/149","1931-01-20",1931,,,"dr795k2dx6w9",
93,"Gabor","Dennis","male","https://en.wikipedia.org/wiki/Dennis_Gabor","https://api.nobelprize.org/2/laureate/93","https://www.nobelprize.org/laureate/93","1900-06-05",1900,"1979-02-08",1979,"u2mw1nxq8pqp","gcpvj1puzgy0"
975,"Queloz","Didier","male","https://en.wikipedia.org/wiki/Didier_Queloz","https://api.nobelprize.org/2/laureate/975","https://www.nobelprize.org/laureate/975","1966-02-23",1966,,,"u0hqgg5671mw",
74,"Glaser","Donald A.","male","https://en.wikipedia.org/wiki/Donald_A._Glaser","https://api.nobelprize.org/2/laureate/74","https://www.nobelprize.org/laureate/74","1926-09-21",1926,"2013-02-28",2013,"dpmuhdhjgr08","9q9p3w670tk5"
