"id","name","given_name","gender","wiki_url","laureate_url","external_url","birth","birth_year","death","death_year","birth_location","death_location"
376,"Hodgkin","Alan","male","https://en.wikipedia.org/wiki/Alan_Lloyd_Hodgkin","https://api.nobelprize.org/2/laureate/376","https://www.nobelprize.org/laureate/376","1914-02-05",1914,"1998-12-20",1998,"gcr01t2ze4kd","u120gjdregef"
403,"Claude","Albert","male","https://en.wikipedia.org/wiki/Albert_Claude","https://api.nobelprize.org/2/laureate/403","https://www.nobelprize.org/laureate/403","1898-08-24",1898,"1983-05-22",1983,"u15244zjve6c","u15170g469cm"
332,"Szent-Györgyi","Albert","male","https://en.wikipedia.org/wiki/Albert_Szent-Györgyi","https://api.nobelprize.org/2/laureate/332","https://www.nobelprize.org/laureate/332","1893-09-16",1893,"1986-10-22",1986,"u2mw1nxq8pqp","drmspzc9q6hh"
304,"Kossel","Albrecht","male","https://en.wikipedia.org/wiki/Albrecht_Kossel","https://api.nobelprize.org/2/laureate/304","https://www.nobelprize.org/laureate/304","1853-09-16",1853,"1927-07-05",1927,"u38esje4ppuz","u0y1j8bgqf43"
306,"Carrel","Alexis","male","https://en.wikipedia.org/wiki/Alexis_Carrel","https://api.nobelprize.org/2/laureate/306","https://www.nobelprize.org/laureate/306","1873-06-28",1873,"1944-11-05",1944,"u05kjm91d758","u09tvwew9tqx"
392,"Hershey","Alfred D.","male","https://en.wikipedia.org/wiki/Alfred_Hershey","https://api.nobelprize.org/2/laureate/392","https://www.nobelprize.org/laureate/392","1908-12-04",1908,"1997-05-22",1997,"dpshse82jqzb","dr78r2jmvtjs"
450,"Gilman","Alfred G.","male","https://en.wikipedia.org/wiki/Alfred_G._Gilman","https://api.nobelprize.org/2/laureate/450","https://www.nobelprize.org/laureate/450","1941-07-01",1941,"2015-12-23",2015,"drk4uru5ku7m","9vg4mprhqe7k"
417,"Cormack","Allan M.","male","https://en.wikipedia.org/wiki/Allan_McLeod_Cormack","https://api.nobelprize.org/2/laureate/417","https://www.nobelprize.org/laureate/417","1924-02-23",1924,"1998-05-07",1998,"ke7fyjqnecg9","drt3t0pwefg5"
305,"Gullstrand","Allvar","male","https://en.wikipedia.org/wiki/Allvar_Gullstrand","https://api.nobelprize.org/2/laureate/305","https://www.nobelprize.org/laureate/305","1862-06-05",1862,"1930-07-28",1930,"u3cjuhe95y5u","u6sc7pyg248w"
300,"Laveran","Alphonse","male","https://en.wikipedia.org/wiki/Charles_Louis_Alphonse_Laveran","https://api.nobelprize.org/2/laureate/300","https://www.nobelprize.org/laureate/300","1845-06-18",1845,"1922-05-18",1922,"u09tvwew9tqx","u09tvwew9tqx"
360,"Cournand","André F.","male","https://en.wikipedia.org/wiki/André_Frédéric_Cournand","https://api.nobelprize.org/2/laureate/360","https://www.nobelprize.org/laureate/360","1895-09-24",1895,"1988-02-19",1988,"u09tvwew9tqx","dreb49e3mkf1"
381,"Lwoff","André","male","https://en.wikipedia.org/wiki/André_Michel_Lwoff","https://api.nobelprize.org/2/laureate/381","https://www.nobelprize.org/laureate/381","1902-05-08",1902,"1994-09-30",1994,"u03ctr89ef19","u09tvwew9tqx"
377,"Huxley","Andrew","male","https://en.wikipedia.org/wiki/Andrew_Huxley","https://api.nobelprize.org/2/laureate/377","https://www.nobelprize.org/laureate/377","1917-11-22",1917,"2012-05-30",2012,"gcpvk10uz1m1","u120f4vhj9vh"
412,"Schally","Andrew V.","male","https://en.wikipedia.org/wiki/Andrew_Schally","https://api.nobelprize.org/2/laureate/412","https://www.nobelprize.org/laureate/412","1926-11-30",1926,"2024-10-17",2024,"u99zp76rns2b","dhx4be32c3tm"
802,"Fire","Andrew Z.","male","https://en.wikipedia.org/wiki/Andrew_Fire","https://api.nobelprize.org/2/laureate/802","https://www.nobelprize.org/laureate/802","1959-04-27",1959,,,"9q9huhfyzu14",
311,"Hill","Archibald V.","male","https://en.wikipedia.org/wiki/Archibald_Hill","https://api.nobelprize.org/2/laureate/311","https://www.nobelprize.org/laureate/311","1886-09-26",1886,"1977-06-03",1977,"gcnhtpjgz8pd","u120gjdregef"
998,"Patapoutian","Ardem","male","https://en.wikipedia.org/wiki/Ardem_Patapoutian","https://api.nobelprize.org/2/laureate/998","https://www.nobelprize.org/laureate/998",,,,,"sy12b0gvf0jy",
368,"Kornberg","Arthur","male","https://en.wikipedia.org/wiki/Arthur_Kornberg","https://api.nobelprize.org/2/laureate/368","https://www.nobelprize.org/laureate/368","1918-03-03",1918,"2007-10-26",2007,"dr5rmhzmh6dk","9q9huhfyzu14"
722,"Carlsson","Arvid","male","https://en.wikipedia.org/wiki/Arvid_Carlsson","https://api.nobelprize.org/2/laureate/722","https://www.nobelprize.org/laureate/722","1923-01-25",1923,"2018-06-29",2018,"u6ss92ujh9ey","u62831kb9gy3"
310,"Krogh","August","male","https://en.wikipedia.org/wiki/August_Krogh","https://api.nobelprize.org/2/laureate/310","https://www.nobelprize.org/laureate/310","1874-11-15",1874,"1949-09-13",1949,"u4p8zmxx3r2z","u3buwpgh95pk"
428,"McClintock","Barbara","female","https://en.wikipedia.org/wiki/Barbara_McClintock","https://api.nobelprize.org/2/laureate/428","https://www.nobelprize.org/laureate/428","1902-06-16",1902,"1992-09-02",1992,"drkmd4b3h9xc","dr7b3pv438pd"
789,"Marshall","Barry J.","male","https://en.wikipedia.org/wiki/Barry_Marshall","https://api.nobelprize.org/2/laureate/789","https://www.nobelprize.org/laureate/789","1951-09-30",1951,,,"qdw2ggk61fy9",
409,"Blumberg","Baruch S.","male","https://en.wikipedia.org/wiki/Baruch_Samuel_Blumberg","https://api.nobelprize.org/2/laureate/409","https://www.nobelprize.org/laureate/409","1925-07-28",1925,"2011-04-05",2011,"dr5reu4d7xqv","9z1fsf2xgjvn"
419,"Benacerraf","Baruj","male","https://en.wikipedia.org/wiki/Baruj_Benacerraf","https://api.nobelprize.org/2/laureate/419","https://www.nobelprize.org/laureate/419","1920-10-29",1920,"2011-08-02",2011,"d9b7tsbbvk2g","drt2zp6p26d5"
426,"Samuelsson","Bengt I.","male","https://en.wikipedia.org/wiki/Bengt_I._Samuelsson","https://api.nobelprize.org/2/laureate/426","https://www.nobelprize.org/laureate/426","1934-05-21",1934,"2024-07-05",2024,"u614kt4tchd1","u60bhqn4pjex"
345,"Houssay","Bernardo","male","https://en.wikipedia.org/wiki/Bernardo_Houssay","https://api.nobelprize.org/2/laureate/345","https://www.nobelprize.org/laureate/345","1887-04-10",1887,"1971-09-21",1971,"69y7phsu3ddy","69y7phsu3ddy"
445,"Sakmann","Bert","male","https://en.wikipedia.org/wiki/Bert_Sakmann","https://api.nobelprize.org/2/laureate/445","https://www.nobelprize.org/laureate/445","1942-06-12",1942,,,"u0wt2zqhk7mb",
861,"Beutler","Bruce A.","male","https://en.wikipedia.org/wiki/Bruce_Beutler","https://api.nobelprize.org/2/laureate/861","https://www.nobelprize.org/laureate/861","1957-12-29",1957,,,"dp3wjxrdsysw",
