"year","category","laureate"
1901,1,160
1901,2,569
1901,3,462
1901,3,463
1901,4,1
1901,5,293
1902,1,161
1902,2,571
1902,3,464
1902,3,465
1902,4,2
1902,4,3
1902,5,294
1903,1,162
1903,2,572
1903,3,466
1903,4,4
1903,4,5
1903,4,6
1903,5,295
1904,1,163
1904,2,573
1904,2,574
1904,3,467
1904,4,8
1904,5,296
1905,1,164
1905,2,575
1905,3,468
1905,4,9
1905,5,297
1906,1,165
1906,2,576
1906,3,470
1906,4,10
1906,5,298
1906,5,299
1907,1,166
1907,2,577
1907,3,471
1907,3,472
1907,4,11
1907,5,300
1908,1,167
1908,2,578
1908,3,473
1908,3,474
1908,4,12
1908,5,301
1908,5,302
1909,1,168
1909,2,579
1909,3,475
1909,3,476
1909,4,13
1909,4,14
1909,5,303
1910,1,169
1910,2,580
1910,3,477
1910,4,15
1910,5,304
1911,1,6
1911,2,581
1911,3,478
1911,3,479
1911,4,16
1911,5,305
1912,1,172
1912,1,173
1912,2,582
1912,3,480
1912,4,17
1912,5,306
1913,1,174
1913,2,583
1913,3,481
1913,4,18
1913,5,307
1914,1,175
1914,4,19
1914,5,308
1915,1,176
1915,2,584
1915,4,20
1915,4,21
1916,2,585
1917,2,586
1917,2,587
1917,3,482
1917,4,22
1918,1,177
1918,4,23
1919,2,588
1919,3,483
1919,4,24
1919,5,309
1920,1,178
1920,2,589
1920,3,484
1920,4,25
1920,5,310
1921,1,179
1921,2,590
1921,3,485
1921,3,486
1921,4,26
1922,1,180
1922,2,592
1922,3,487
1922,4,27
1922,5,311
1922,5,312
1923,1,181
1923,2,593
1923,4,28
1923,5,313
1923,5,314
1924,2,594
1924,4,29
1924,5,315
1925,1,182
1925,2,596
1925,3,488
1925,3,489
1925,4,30
1925,4,31
1926,1,183
1926,2,597
1926,3,490
1926,3,491
1926,4,32
1926,5,316
1927,1,184
1927,2,600
1927,3,492
1927,3,493
1927,4,33
1927,4,34
1927,5,317
1928,1,185
1928,2,601
1928,4,35
1928,5,318
1929,1,186
1929,1,187
1929,2,602
1929,3,494
1929,4,36
1929,5,319
1929,5,320
1930,1,188
1930,2,603
1930,3,495
1930,4,37
1930,5,321
1931,1,189
1931,1,190
1931,2,604
1931,3,496
1931,3,497
1931,5,322
1932,1,191
1932,2,605
1932,4,38
1932,5,323
1932,5,324
1933,2,606
1933,3,498
1933,4,39
1933,4,40
1933,5,325
1934,1,192
1934,2,607
1934,3,499
1934,5,326
1934,5,327
1934,5,328
1935,1,193
1935,1,194
1935,3,500
1935,4,41
1935,5,329
1936,1,195
1936,2,608
1936,3,501
1936,4,42
1936,4,43
1936,5,330
1936,5,331
1937,1,196
1937,1,197
1937,2,609
1937,3,502
1937,4,44
1937,4,45
1937,5,332
1938,1,198
1938,2,610
1938,3,503
1938,4,46
1938,5,333
1939,1,199
1939,1,200
1939,2,613
1939,4,47
1939,5,334
1943,1,201
1943,4,48
1943,5,335
1943,5,336
1944,1,202
1944,2,614
1944,3,482
1944,4,49
1944,5,337
1944,5,338
1945,1,203
1945,2,615
1945,3,505
1945,4,50
1945,5,339
1945,5,340
1945,5,341
1946,1,204
1946,1,205
1946,1,206
1946,2,617
1946,3,506
1946,3,507
1946,4,51
1946,5,342
1947,1,207
1947,2,618
1947,3,508
1947,3,509
1947,4,52
1947,5,343
1947,5,344
1947,5,345
1948,1,208
1948,2,619
1948,4,53
1948,5,346
1949,1,209
1949,2,620
1949,3,510
1949,4,54
1949,5,347
1949,5,348
1950,1,210
1950,1,211
1950,2,621
1950,3,511
1950,4,55
1950,5,349
1950,5,350
1950,5,351
1951,1,212
1951,1,213
1951,2,622
1951,3,512
1951,4,56
1951,4,57
1951,5,352
1952,1,214
1952,1,215
1952,2,623
