"category","year","prize_amount","prize_amount_adjusted"
1,1901,150782,9704878
2,1901,150782,9704878
3,1901,150782,9704878
4,1901,150782,9704878
5,1901,150782,9704878
1,1902,141847,9129789
2,1902,141847,9129789
3,1902,141847,9129789
4,1902,141847,9129789
5,1902,141847,9129789
1,1903,141358,8830717
2,1903,141358,8830717
3,1903,141358,8830717
4,1903,141358,8830717
5,1903,141358,8830717
1,1904,140859,8799545
2,1904,140859,8799545
3,1904,140859,8799545
4,1904,140859,8799545
5,1904,140859,8799545
1,1905,138089,8626501
2,1905,138089,8626501
3,1905,138089,8626501
4,1905,138089,8626501
5,1905,138089,8626501
1,1906,138536,8407156
2,1906,138536,8407156
3,1906,138536,8407156
4,1906,138536,8407156
5,1906,138536,8407156
1,1907,138796,7967641
2,1907,138796,7967641
3,1907,138796,7967641
4,1907,138796,7967641
5,1907,138796,7967641
1,1908,139800,8025276
2,1908,139800,8025276
3,1908,139800,8025276
4,1908,139800,8025276
5,1908,139800,8025276
1,1909,139800,8025276
2,1909,139800,8025276
3,1909,139800,8025276
4,1909,139800,8025276
5,1909,139800,8025276
1,1910,140703,8077113
2,1910,140703,8077113
3,1910,140703,8077113
4,1910,140703,8077113
5,1910,140703,8077113
1,1911,140695,8301005
2,1911,140695,8301005
3,1911,140695,8301005
4,1911,140695,8301005
5,1911,140695,8301005
1,1912,140476,7650539
2,1912,140476,7650539
3,1912,140476,7650539
4,1912,140476,7650539
5,1912,140476,7650539
1,1913,143010,7788545
2,1913,143010,7788545
3,1913,143010,7788545
4,1913,143010,7788545
5,1913,143010,7788545
1,1914,146900,8000400
4,1914,146900,8000400
5,1914,146900,8000400
1,1915,149223,7043326
2,1915,149223,7043326
4,1915,149223,7043326
2,1916,131793,5488791
2,1917,133823,4441251
3,1917,133823,4441251
4,1917,133823,4441251
1,1918,138198,3225632
4,1918,138198,3225632
2,1919,133127,2692969
3,1919,133127,2692969
4,1919,133127,2692969
5,1919,133127,2692969
1,1920,134100,2712651
2,1920,134100,2712651
3,1920,134100,2712651
4,1920,134100,2712651
5,1920,134100,2712651
1,1921,121573,2869123
2,1921,121573,2869123
3,1921,121573,2869123
4,1921,121573,2869123
1,1922,122483,3563752
2,1922,122483,3563752
3,1922,122483,3563752
4,1922,122483,3563752
5,1922,122483,3563752
1,1923,114935,3590029
2,1923,114935,3590029
4,1923,114935,3590029
5,1923,114935,3590029
2,1924,116719,3645752
4,1924,116719,3645752
5,1924,116719,3645752
1,1925,118165,3637427
2,1925,118165,3637427
3,1925,118165,3637427
4,1925,118165,3637427
1,1926,116960,3707807
2,1926,116960,3707807
3,1926,116960,3707807
4,1926,116960,3707807
5,1926,116960,3707807
1,1927,126501,4071032
2,1927,126501,4071032
3,1927,126501,4071032
4,1927,126501,4071032
5,1927,126501,4071032
1,1928,156939,5050582
2,1928,156939,5050582
4,1928,156939,5050582
5,1928,156939,5050582
1,1929,172760,5559731
2,1929,172760,5559731
3,1929,172760,5559731
4,1929,172760,5559731
5,1929,172760,5559731
1,1930,172947,5739679
2,1930,172947,5739679
3,1930,172947,5739679
4,1930,172947,5739679
5,1930,172947,5739679
1,1931,173206,5933702
2,1931,173206,5933702
3,1931,173206,5933702
5,1931,173206,5933702
1,1932,171753,5980383
2,1932,171753,5980383
4,1932,171753,5980383
5,1932,171753,5980383
2,1933,170332,6131952
3,1933,170332,6131952
4,1933,170332,6131952
5,1933,170332,6131952
1,1934,162608,5853888
2,1934,162608,5853888
3,1934,162608,5853888
5,1934,162608,5853888
1,1935,159917,5661062
3,1935,159917,5661062
4,1935,159917,5661062
5,1935,159917,5661062
1,1936,159850,5565925
2,1936,159850,5565925
3,1936,159850,5565925
4,1936,159850,5565925
5,1936,159850,5565925
1,1937,158463,5342467
2,1937,158463,5342467
3,1937,158463,5342467
4,1937,158463,5342467
5,1937,158463,5342467
1,1938,155077,5146618
2,1938,155077,5146618
3,1938,155077,5146618
4,1938,155077,5146618
5,1938,155077,5146618
1,1939,148822,4789363
2,1939,148822,4789363
4,1939,148822,4789363
5,1939,148822,4789363
1,1943,123691,2855649
4,1943,123691,2855649
5,1943,123691,2855649
1,1944,121841,2843849
2,1944,121841,2843849
3,1944,121841,2843849
